id;X;Y;Z;dist1;dist2;dist3
290;2.1;0;1.263399;4.077319;1.386719;4.077319
291;2.1;0;1.063399;4.277319;1.575914;4.277319
292;2.1;0;0.863399;4.477319;1.767489;4.477319
293;2.1;0;0.663399;4.677319;1.960748;4.677319
294;2.1;0;0.463399;4.877319;2.155237;4.877319
295;2.1;0;0.263399;5.077319;2.350651;5.077319
296;2.1;0;0.063399;5.277319;2.546777;5.277319
297;2.3;0;5.263399;0.077319;2.782877;0.077319
298;2.3;0;5.063399;0.277319;2.589386;0.277319
299;2.3;0;4.863399;0.477319;2.396963;0.477319
300;2.3;0;4.663399;0.677319;2.205889;0.677319
301;2.3;0;4.463399;0.877319;2.016547;0.877319
302;2.3;0;4.263399;1.077319;1.829474;1.077319
303;2.3;0;4.063399;1.277319;1.645445;1.277319
304;2.3;0;3.863399;1.477319;1.465606;1.477319
305;2.3;0;3.663399;1.677319;1.29171;1.677319
306;2.3;0;3.463399;1.877319;1.126512;1.877319
307;2.3;0;3.263399;2.077319;0.974445;2.077319
308;2.3;0;3.063399;2.277319;0.842648;2.277319
309;2.3;0;2.863399;2.477319;0.742004;2.477319
310;2.3;0;2.663399;2.677319;0.686355;2.677319
311;2.3;0;2.463399;2.877319;0.686729;2.877319
312;2.3;0;2.263399;3.077319;0.743041;3.077319
313;2.3;0;2.063399;3.277319;0.84417;3.277319
314;2.3;0;1.863399;3.477319;0.976288;3.477319
315;2.3;0;1.663399;3.677319;1.128561;3.677319
316;2.3;0;1.463399;3.877319;1.293895;3.877319
317;2.3;0;1.263399;4.077319;1.467882;4.077319
318;2.3;0;1.063399;4.277319;1.647784;4.277319
319;2.3;0;0.863399;4.477319;1.831858;4.477319
320;2.3;0;0.663399;4.677319;2.018965;4.677319
321;2.3;0;0.463399;4.877319;2.208333;4.877319
322;2.3;0;0.263399;5.077319;2.399426;5.077319
323;2.3;0;0.063399;5.277319;2.591864;5.277319
324;2.5;0;5.263399;0.077319;2.838326;0.077319
325;2.5;0;5.063399;0.277319;2.648888;0.277319
326;2.5;0;4.863399;0.477319;2.461122;0.477319
327;2.5;0;4.663399;0.677319;2.275442;0.677319
328;2.5;0;4.463399;0.877319;2.092402;0.877319
329;2.5;0;4.263399;1.077319;1.912763;1.077319
330;2.5;0;4.063399;1.277319;1.737577;1.277319
331;2.5;0;3.863399;1.477319;1.568339;1.477319
332;2.5;0;3.663399;1.677319;1.407197;1.677319
333;2.5;0;3.463399;1.877319;1.257265;1.877319
334;2.5;0;3.263399;2.077319;1.123045;2.077319
335;2.5;0;3.063399;2.277319;1.010813;2.277319
336;2.5;0;2.863399;2.477319;0.928578;2.477319
337;2.5;0;2.663399;2.677319;0.884743;2.677319
338;2.5;0;2.463399;2.877319;0.885033;2.877319
339;2.5;0;2.263399;3.077319;0.929407;3.077319
340;2.5;0;2.063399;3.277319;1.012083;3.277319
341;2.5;0;1.863399;3.477319;1.124644;3.477319
342;2.5;0;1.663399;3.677319;1.259102;3.677319
343;2.5;0;1.463399;3.877319;1.409203;3.877319
344;2.5;0;1.263399;4.077319;1.570467;4.077319
345;2.5;0;1.063399;4.277319;1.739793;4.277319
346;2.5;0;0.863399;4.477319;1.915044;4.477319
